dealership,state,city,channel,url,source
Greenway Kia of Rivergate [PILOT],TN,Madison,Facebook,https://www.facebook.com/greenwaykiarivergate,sheet
Greenway Kia of Rivergate [PILOT],TN,Madison,Instagram,https://www.instagram.com/greenwaykiarivergate/,sheet
Greenway Kia of Rivergate [PILOT],TN,Madison,DealerRater,https://www.dealerrater.com/dealer/Greenway-Kia-of-Rivergate-review-26356/,web-2026-08-22
Greenway Kia of Rivergate [PILOT],TN,Madison,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Kia of Rivergate [PILOT],TN,Madison,YouTube,NO ACCOUNT FOUND,web-2026-08-22
Frisco CDJR,TX,Frisco,Website,https://www.friscochryslerjeepdodgeram.com/,sheet
Frisco CDJR,TX,Frisco,Facebook,https://www.facebook.com/FriscoCDJR/,sheet
Frisco CDJR,TX,Frisco,Instagram,https://www.instagram.com/frisco_cdjr/,sheet
Frisco CDJR,TX,Frisco,TikTok,https://www.tiktok.com/@frisco_cdjrdealership,web-2026-08-22
Frisco CDJR,TX,Frisco,YouTube,https://www.youtube.com/@friscochryslerdodgejeepram8842,web-2026-08-22
Frisco CDJR,TX,Frisco,LinkedIn,https://www.linkedin.com/company/frisco-chrysler-dodge-jeep-ram/,sheet
Frisco CDJR,TX,Frisco,X,https://twitter.com/FriscoCDJR,sheet
Greenway Mazda,TX,Houston,Website,https://www.greenwaymazda.com/,sheet
Greenway Mazda,TX,Houston,Facebook,https://www.facebook.com/GreenwayMazda/,sheet
Greenway Mazda,TX,Houston,LinkedIn,https://www.linkedin.com/company/greenway-mazda,web-2026-08-22
Greenway Mazda,TX,Houston,Instagram,NO ACCOUNT FOUND,web-2026-08-22
Greenway Mazda,TX,Houston,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Laredo Dodge Chrysler Jeep,TX,Laredo,Website,https://www.laredochryslerdodgejeep.com/,sheet
Laredo Dodge Chrysler Jeep,TX,Laredo,Facebook,https://www.facebook.com/LaredoDodge/,sheet
Laredo Dodge Chrysler Jeep,TX,Laredo,Instagram,https://www.instagram.com/laredododge/,sheet
Laredo Dodge Chrysler Jeep,TX,Laredo,YouTube,https://www.youtube.com/c/laredododge,web-2026-08-22
Laredo Dodge Chrysler Jeep,TX,Laredo,X,https://x.com/LaredoDodge,sheet
Laredo Dodge Chrysler Jeep,TX,Laredo,TikTok,NO ACCOUNT FOUND,web-2026-08-22
San Antonio CDJR,TX,San Antonio,Website,https://www.sanantoniododgechryslerjeepram.com/,sheet
San Antonio CDJR,TX,San Antonio,Facebook,https://www.facebook.com/SanAntonioDodge,sheet
San Antonio CDJR,TX,San Antonio,Instagram,https://www.instagram.com/sadodgejeepram/,sheet
San Antonio CDJR,TX,San Antonio,TikTok,https://www.tiktok.com/@sanantoniododgejeepram,sheet
San Antonio CDJR,TX,San Antonio,X,https://twitter.com/SanAntonioDCJR,sheet
Sunland Park CDJR,TX,El Paso,Website,https://www.sunlandparkjeepchryslerdodgeram.net/,sheet
Sunland Park CDJR,TX,El Paso,Facebook,https://www.facebook.com/sunlandparkdodgechryslerjeepram/,sheet
Sunland Park CDJR,TX,El Paso,X,https://twitter.com/SunlandParkCDJR,sheet
Sunland Park CDJR,TX,El Paso,YouTube,https://www.youtube.com/c/Sunlandparkdodge,sheet
Sunland Park CDJR,TX,El Paso,Instagram,NO ACCOUNT FOUND,web-2026-08-22
Sunland Park CDJR,TX,El Paso,TikTok,NO ACCOUNT FOUND,web-2026-08-22
